Date,Link,OptionText
2023-08-22 15:16:58,https://www.linkedin.com/feed/update/urn:li:ugcPost:7099240996118433792," x = np.array([1,2,3,4])"
2023-08-21 10:45:38,https://www.linkedin.com/feed/update/urn:li:ugcPost:7099278653909270528,// 
2023-08-03 05:42:42,https://www.linkedin.com/feed/update/urn:li:ugcPost:7092719102481350656,O(n)
2023-08-02 12:23:49,https://www.linkedin.com/feed/update/urn:li:ugcPost:7092451490283319296,Practice
2023-07-29 09:14:36,https://www.linkedin.com/feed/update/urn:li:ugcPost:7090885886761971712, Original version of data
2023-07-25 06:34:10,https://www.linkedin.com/feed/update/urn:li:ugcPost:7089455213195001856,Recursion
2023-07-22 06:39:20,https://www.linkedin.com/feed/update/urn:li:ugcPost:7088348109667270656,Data collected through forms
2023-07-19 15:57:35,https://www.linkedin.com/feed/update/urn:li:ugcPost:7087276657731866624,Love the idea
2023-07-15 19:42:51,https://www.linkedin.com/feed/update/urn:li:ugcPost:7085840202228797440,Recommendation engine
2023-07-11 05:06:18,https://www.linkedin.com/feed/update/urn:li:ugcPost:7084374519095705600,Data Cleaning
2023-07-03 15:05:37,https://www.linkedin.com/feed/update/urn:li:ugcPost:7080110035078426625, FALSE
2023-07-01 12:38:48,https://www.linkedin.com/feed/update/urn:li:ugcPost:7080585971041230848,Morning meetings
2023-07-01 05:11:04,https://www.linkedin.com/feed/update/urn:li:ugcPost:7080749972681338881,z-score normalization
2023-06-27 09:14:21,https://www.linkedin.com/feed/update/urn:li:ugcPost:7079314442798137344,Heaps
2023-06-26 16:03:12,https://www.linkedin.com/feed/update/urn:li:ugcPost:7078934052409376768,analysing data
2023-06-26 15:57:00,https://www.linkedin.com/feed/update/urn:li:ugcPost:7079045632354582531,C++
2023-06-25 06:27:11,https://www.linkedin.com/feed/update/urn:li:ugcPost:7078189241284890624,bayesian inference
2023-06-25 06:24:55,https://www.linkedin.com/feed/update/urn:li:ugcPost:7077853607202598912,FALSE
2023-06-18 11:14:54,https://www.linkedin.com/feed/update/urn:li:ugcPost:7075848717513228289,5.5 seconds
2023-06-13 13:49:52,https://www.linkedin.com/feed/update/urn:li:ugcPost:7074332143459385345,Waterfall
2023-06-10 06:21:36,https://www.linkedin.com/feed/update/urn:li:ugcPost:7073128766880821248,Classification
2023-06-08 04:28:51,https://www.linkedin.com/feed/update/urn:li:groupPost:8701548-7072359825023610881,Keys or personal belongings
2023-06-08 04:25:49,https://www.linkedin.com/feed/update/urn:li:ugcPost:7072425033947627520,All of the above
2023-04-13 04:49:28,https://www.linkedin.com/feed/update/urn:li:ugcPost:7051741867448672256,One Page
2022-08-08 13:36:03,https://www.linkedin.com/feed/update/urn:li:ugcPost:6962359210315526144,"Cache, RAM"
2022-07-24 12:38:35,https://www.linkedin.com/feed/update/urn:li:groupPost:25827-6956870258548719617,*
2022-07-19 09:17:10,https://www.linkedin.com/feed/update/urn:li:ugcPost:6955028909356703744,Resume
2022-07-18 11:58:05,https://www.linkedin.com/feed/update/urn:li:groupPost:25827-6954720665769783296,Compilation Error
2022-07-04 14:32:12,https://www.linkedin.com/feed/update/urn:li:groupPost:25827-6949593080572362752,int(5.7)
2022-07-02 12:48:00,https://www.linkedin.com/feed/update/urn:li:groupPost:25827-6948940871392206848,All of the above
2022-05-23 08:07:26,https://www.linkedin.com/feed/update/urn:li:ugcPost:6934411784959193088,Remote ✅
2022-05-17 05:23:08,https://www.linkedin.com/feed/update/urn:li:ugcPost:6932193140644683776,Learning Curve 📈
2022-05-15 15:28:24,https://www.linkedin.com/feed/update/urn:li:ugcPost:6931487535932063744,Web
2022-03-30 11:46:12,https://www.linkedin.com/feed/update/urn:li:groupPost:25827-6914811554018291712,"[1, [2, 4], 3]"
2022-02-19 05:25:06,https://www.linkedin.com/feed/update/urn:li:ugcPost:6900398115481083905,Python
2021-10-01 18:25:25,https://www.linkedin.com/feed/update/urn:li:ugcPost:6849256165801553920,CSK 💛
2021-07-10 04:12:21,https://www.linkedin.com/feed/update/urn:li:ugcPost:6819315749073625088,ReactJS
